days.since.hatching	length
0	0.00777497
0	0.008052655
0	0.007998441
0	0.007646166
0	0.007870138
0	0.007789275
0	0.007932331
0	0.007340453
0	0.007598424
0	0.008218617
0	0.008284615
0	0.008414363
0	0.007798701
0	0.009092799
0	0.008209716
0	0.008327643
0	0.008658846
0	0.007671185
0	0.00857479
0	0.008578764
0	0.008259901
0	0.007481158
0	0.008530953
0	0.008376477
0	0.015870673
0	0.00847583
0	0.008270886
0	0.009416671
0	0.00836985
0	0.008955371
0	0.008333071
0	0.007911753
1	0.007787949
1	0.007750097
1	0.0081511
1	0.00809302
1	0.009622534
1	0.007879736
1	0.008374956
1	0.008069174
1	0.008210917
1	0.007450933
1	0.007757923
1	0.009070047
1	0.008490689
1	0.008417946
1	0.007701389
1	0.007786009
1	0.008221899
1	0.00798995
1	0.008744661
0	0.007826615
0	0.007935473
0	0.008385074
0	0.007373279
0	0.00742222
0	0.008667508
0	0.007791631
0	0.007619936
0	0.007780365
0	0.008030709
0	0.008041387
0	0.016340227
0	0.007726602
0	0.007839919
0	0.008596859
0	0.008063687
0	0.00806869
0	0.008060701
0	0.007972567
0	0.008581116
0	0.008279065
0	0.011096533
0	0.010949078
0	0.010067377
0	0.007724765
0	0.008066233
0	0.008335281
0	0.007936733
0	0.007939012
0	0.007425828
0	0.010016586
0	0.007780016
0	0.008154357
1	0.007778501
1	0.008712406
1	0.007927729
1	0.007773748
1	0.008571977
1	0.008505345
1	0.007989551
1	0.008046736
2	0.008512787
2	0.00801294
2	0.008174467
2	0.007940373
2	0.008505932
2	0.008483591
2	0.007899936
2	0.008206211
2	0.008778572
2	0.010673322
2	0.008905741
2	0.008564298
2	0.008287302
2	0.00868999
1	0.00824109
1	0.007971168
1	0.008565085
1	0.008136195
1	0.008410151
1	0.008472475
1	0.007965828
0	0.008330189
0	0.008357809
0	0.008598384
0	0.008442873
0	0.008846271
0	0.008706846
0	0.008980541
0	0.008201809
0	0.008577975
1	0.008215074
1	0.008956966
1	0.008447806
1	0.008445481
1	0.008432427
1	0.008306075
1	0.00842275
1	0.008529304
1	0.008842489
1	0.008344842
2	0.008821405
2	0.009441249
2	0.010201697
2	0.010280173
2	0.010559915
2	0.011504849
2	0.011742767
3	0.012044082
3	0.011395532
3	0.01321989
3	0.013759703
3	0.013055744
3	0.011391759
3	0.010968339
3	0.010928429
3	0.011030548
3	0.010123062
3	0.009075756
3	0.009219169
4	0.009784361
4	0.010034907
4	0.007982828
4	0.009925311
4	0.009715992
4	0.010357904
4	0.010502034
4	0.010575717
4	0.010381651
4	0.011558702
4	0.011208248
4	0.010655513
4	0.014086343
4	0.010639063
4	0.010685799
4	0.01083794
4	0.010331993
4	0.009497714
4	0.011970811
4	0.010707704
4	0.010434955
3	0.008846367
3	0.00981555
3	0.009593354
3	0.010115531
3	0.010328859
3	0.00950758
3	0.010177572
3	0.013181777
3	0.010572217
3	0.013321094
3	0.008902362
2	0.007934938
2	0.009095702
2	0.008022525
2	0.007977778
2	0.008439744
2	0.00844167
2	0.008805763
2	0.008503332
2	0.008264072
2	0.00792933
2	0.008816672
3	0.010022545
3	0.011789872
3	0.008051645
3	0.011408975
3	0.010392008
3	0.014469469
3	0.009884601
3	0.012376251
3	0.013683383
3	0.008715132
3	0.009262483
3	0.010531392
3	0.010014775
3	0.01068913
3	0.011904005
3	0.009401319
2	0.009261037
2	0.009358592
2	0.008549365
2	0.009187197
2	0.009072864
2	0.010074149
2	0.009988303
2	0.008950114
2	0.009395105
2	0.008984454
2	0.009216043
2	0.008759433
3	0.009282593
3	0.008161275
3	0.008237365
3	0.009932663
3	0.009967925
3	0.009665882
3	0.010292842
3	0.009384911
3	0.00937283
3	0.009850871
3	0.00986382
3	0.010570312
3	0.010739302
3	0.010222732
3	0.008648657
3	0.009946419
3	0.009436351
3	0.009852441
3	0.009798872
3	0.009430365
4	0.009477834
4	0.009730954
4	0.008260362
4	0.010845425
4	0.009500293
4	0.012826471
4	0.010384335
4	0.009471585
4	0.011879906
4	0.012249549
5	0.013618245
5	0.009263094
5	0.011356181
5	0.010682428
5	0.011063137
5	0.012557526
5	0.010989278
5	0.011609066
5	0.008874698
5	0.010907783
5	0.012198593
5	0.011721467
5	0.013012175
5	0.013835262
5	0.011211007
5	0.011717944
5	0.011865403
5	0.011682284
5	0.011321646
4	0.010013728
4	0.010324905
4	0.009619804
4	0.01785655
4	0.010151102
4	0.009077754
4	0.009576213
4	0.009421428
3	0.010429035
3	0.010057227
3	0.010577507
3	0.018069145
3	0.009594747
3	0.010058692
3	0.00988343
3	0.01465456
3	0.008405686
3	0.010565029
4	0.010717077
4	0.009412407
4	0.009540821
4	0.013355724
4	0.018320589
4	0.014486454
4	0.012828348
4	0.012762928
4	0.009575562
4	0.009876455
4	0.010020089
4	0.009666172
4	0.009834549
4	0.010805281
4	0.009122179
4	0.010962954
4	0.009454469
4	0.009089285
4	0.009001841
4	0.010527603
4	0.012945368
4	0.009540226
4	0.01113186
4	0.011516081
4	0.011861897
4	0.009587643
4	0.010070772
4	0.010562264
4	0.010336742
4	0.021514996
4	0.010053828
4	0.010249075
4	0.00919825
4	0.009848343
5	0.010299163
5	0.015925138
5	0.008814686
5	0.010474456
5	0.007679336
5	0.010939914
5	0.012419365
5	0.012729732
5	0.011259054
5	0.011734525
6	0.012196386
6	0.011485206
6	0.012319264
6	0.011739895
6	0.011892254
6	0.013889885
