srt.top.view.area	C.ug.ind	N. ug. Ind
0.031784588	0.737785714	0.147557143
0.031760049	0.8562	0.190266667
0.031380733	0.791814458	0.179957831
0.031698862	0.708977778	0.118162963
0.031364458	0.771709091	0.192927273
0.031997687	0.588986047	0.147246512
0.031818488	0.78665	0.224757143
0.0287415	0.542541176	0.120564706
0.028036415	0.570258	0.126724
0.028636738	0.547326	0.121628
0.027303604	0.542862857	0.135715714
0.025925711	0.434392	0.062056
0.026427641	0.382248	0.063708
0.027845497	0.36942	0.12314
0.026741712	0.272476286	0.045412714

